question,answer
"An employee who joins DMRC on Deputation basis and is absorbed later on, how the information related to his PVR is maintained in DMRC?","The requirement of PVR is relaxed in case of such employees, who join DMRC on Deputation basis / absorbed in DMRC after completion of deputation, as they are joining DMRC after proper relieving from another Govt. organization / entity."
"When an employee is in service, he/she went through medical check-up by nominated hospital. What is the duration of validity of the medical fitness report?",The validity of medical fitness report is till 06 months from such medical examination
When can an employee become eligible to get NOC for Higher Education for pursuing correspondence/ part time/ distance learning mode?,"Employee becomes eligible for such NOC, after completion of Probation and further 01-year regular service, after that."
"If the remark (at the end of probation period) on the last assessment of an employee is “Not suitable”, then what will happen?","The probationer may be treated as on further extended probation. A maximum period of one year of extended probation can be allowed at the discretion of Management only, if, it is felt that the probationer can improve and earn suitability during the extended probation period."
If an employee is inducted on Direct Recruitment basis. What is their probation period?,"(i) Minimum period of 01-year, in case of induction at the level of DGM & above. (ii) Minimum period of 02 years for non-Executive cadre up to the level of Manager."
"At the end of extended probation period, if the probationer review does not merit ‘Suitable’ assessment. Then what happens?","If at the end of probation period including extended period, the probationer review does not merit ‘Suitable’ assessment, his / her services shall be terminated forthwith, in accordance with the terms of offer of appointment."
"If an employee is promoted from Non-Executive to Executive, then what is the probation period?","In such case, the probation period shall be 24 months."
Is the service rendered during contractual tenure considered as residency period for promotion purpose?,"Subsequent upon regularization, the contract service of such employees shall be counted @ maximum up to 70% for further promotion in DMRC. The maximum period of past contract service shall not exceed the quantum of 1.4 years (approx. 70% of 02 years), for promotion purposes and for other purposes including availing of various advances."
"If the discipline of an employee is changed at his/her own request, then how is the seniority in the new discipline fixed?",The seniority in the new discipline is fixed at the bottom of the list.
"If the discipline of an employee is changed on administrative ground, then how is the new seniority fixed?","The employee will get his / her due seniority in the new discipline, reckoned from the date of entry to the grade."
If an employee fails to submit his/her Self Appraisal of APAR then what happens?,"In case, an employee fails to initiate their APAR within the stipulated time frame, the Reporting Authority can initiate the employee’s APAR without the Self-Appraisal and follow the regular course of action on APAR."
What is the minimum period for which an employee should have rendered service for generation of his / her APAR?,"The employee should have completed minimum 90 days of service in the Corporation on assessment year ending, i.e., on 31st March of the year."
What are the working hours of an employee of O&M wing working at Depot / Station / Crew Control / OCC?,"All work centers of O&M Wing like Depots, Stations, Crew Controls, OCC etc. will function on 6 days a week (8 hours a day) and shifts / duty for round the clock functioning."
How many GH/NH are available for field staff?,15 nos. GH/NH are available for the field staff.
How many CL are available for field staff?,12 nos. of CL are available for the field staff.
If an Executive performs duty on his/her weekly rest. Will he/she be eligible for compensatory rest?,No. Executives are not eligible for compensatory rest in this condition.
